product,warehouse,region,category,stock
Apple MacBook Air M3 13",WH1-Hyderabad,Hyderabad,Electronics,319
Dove Cream Beauty Bathing Bar 100g,WH2-Hyderabad,Hyderabad,Bodycare,396
Himalaya Neem Face Wash 150ml,WH2-Pune,Pune,Bodycare,408
Amul Gold Milk 1L,WH2-Mumbai,Mumbai,Groceries,659
Ariel Complete Detergent Powder 500g,WH2-Pune,Pune,Laundry,910
Surf Excel Matic Liquid 1L,WH2-Mumbai,Mumbai,Laundry,145
Ariel Complete Detergent Powder 500g,WH1-Mumbai,Mumbai,Laundry,653
Dove Cream Beauty Bathing Bar 100g,WH2-Chennai,Chennai,Bodycare,417
D'Decor Blackout Curtains 7ft,WH2-Delhi,Delhi,Home Decor,76
Tata Salt 1kg,WH2-Delhi,Delhi,Groceries,688
Fortune Soya Oil 1L,WH2-Bangalore,Bangalore,Groceries,208
Milton Thermosteel Flask 1L,WH2-Kolkata,Kolkata,Utensils,366
Apple MacBook Air M3 13",WH1-Chennai,Chennai,Electronics,884
H&M Relaxed Fit Hoodie,WH2-Pune,Pune,Apparel,806
Himalaya Neem Face Wash 150ml,WH1-Chennai,Chennai,Bodycare,230
Samsung Galaxy S24 128GB,WH2-Bangalore,Bangalore,Electronics,54
boAt Airdopes 141 Earbuds,WH2-Ahmedabad,Ahmedabad,Electronics,884
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Delhi,Delhi,Bodycare,728
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Chennai,Chennai,Bodycare,898
Ariel Complete Detergent Powder 500g,WH1-Delhi,Delhi,Laundry,968
Aashirvaad Whole Wheat Atta 5kg,WH1-Hyderabad,Hyderabad,Groceries,726
Prestige Deluxe Alpha Pressure Cooker 5L,WH2-Delhi,Delhi,Utensils,8
Urban Ladder Walnut Coffee Table,WH2-Kolkata,Kolkata,Home Decor,463
Samsung Galaxy S24 128GB,WH1-Bangalore,Bangalore,Electronics,859
Nirma Washing Powder 1kg,WH1-Hyderabad,Hyderabad,Laundry,284
Borosil Glass Mixing Bowl Set,WH1-Pune,Pune,Utensils,325
Samsung Galaxy S24 128GB,WH2-Delhi,Delhi,Electronics,488
Borosil Glass Mixing Bowl Set,WH2-Ahmedabad,Ahmedabad,Utensils,30
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Chennai,Chennai,Bodycare,454
Milton Thermosteel Flask 1L,WH1-Bangalore,Bangalore,Utensils,982
boAt Airdopes 141 Earbuds,WH2-Chennai,Chennai,Electronics,833
boAt Airdopes 141 Earbuds,WH2-Mumbai,Mumbai,Electronics,630
boAt Airdopes 141 Earbuds,WH1-Kolkata,Kolkata,Electronics,947
Dove Cream Beauty Bathing Bar 100g,WH2-Delhi,Delhi,Bodycare,942
Aashirvaad Whole Wheat Atta 5kg,WH1-Bangalore,Bangalore,Groceries,534
FabIndia Cotton Kurta,WH2-Mumbai,Mumbai,Apparel,478
Aashirvaad Whole Wheat Atta 5kg,WH2-Delhi,Delhi,Groceries,349
Levi's 501 Original Fit Jeans,WH1-Chennai,Chennai,Apparel,180
H&M Relaxed Fit Hoodie,WH2-Ahmedabad,Ahmedabad,Apparel,394
boAt Airdopes 141 Earbuds,WH2-Delhi,Delhi,Electronics,225
H&M Relaxed Fit Hoodie,WH1-Hyderabad,Hyderabad,Apparel,485
Fortune Soya Oil 1L,WH1-Ahmedabad,Ahmedabad,Groceries,596
Himalaya Neem Face Wash 150ml,WH1-Ahmedabad,Ahmedabad,Bodycare,303
Aashirvaad Whole Wheat Atta 5kg,WH1-Bangalore,Bangalore,Groceries,181
Aashirvaad Whole Wheat Atta 5kg,WH1-Delhi,Delhi,Groceries,329
Levi's 501 Original Fit Jeans,WH2-Hyderabad,Hyderabad,Apparel,856
Nivea Men Deodorant 150ml,WH1-Delhi,Delhi,Bodycare,779
Aashirvaad Whole Wheat Atta 5kg,WH2-Hyderabad,Hyderabad,Groceries,218
Aashirvaad Whole Wheat Atta 5kg,WH1-Bangalore,Bangalore,Groceries,165
H&M Relaxed Fit Hoodie,WH1-Hyderabad,Hyderabad,Apparel,966
Milton Thermosteel Flask 1L,WH1-Mumbai,Mumbai,Utensils,32
Apple MacBook Air M3 13",WH2-Ahmedabad,Ahmedabad,Electronics,708
IKEA RANARP Floor Lamp,WH2-Bangalore,Bangalore,Home Decor,483
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Delhi,Delhi,Bodycare,693
D'Decor Blackout Curtains 7ft,WH1-Bangalore,Bangalore,Home Decor,484
Nirma Washing Powder 1kg,WH2-Kolkata,Kolkata,Laundry,465
D'Decor Blackout Curtains 7ft,WH2-Kolkata,Kolkata,Home Decor,215
Rin Bar 250g,WH2-Kolkata,Kolkata,Laundry,866
India Gate Basmati Rice (2 Years Aged) 5kg,WH1-Delhi,Delhi,Groceries,592
Apple MacBook Air M3 13",WH2-Pune,Pune,Electronics,220
Sony Bravia 55" 4K TV,WH1-Hyderabad,Hyderabad,Electronics,155
Samsung Galaxy S24 128GB,WH2-Bangalore,Bangalore,Electronics,518
Nivea Men Deodorant 150ml,WH1-Hyderabad,Hyderabad,Bodycare,832
Nirma Washing Powder 1kg,WH2-Chennai,Chennai,Laundry,924
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Chennai,Chennai,Bodycare,453
H&M Relaxed Fit Hoodie,WH1-Delhi,Delhi,Apparel,7
Banana Robusta 1kg,WH2-Chennai,Chennai,Groceries,789
Tata Salt 1kg,WH2-Bangalore,Bangalore,Groceries,89
Urban Ladder Walnut Coffee Table,WH2-Delhi,Delhi,Home Decor,544
boAt Airdopes 141 Earbuds,WH2-Chennai,Chennai,Electronics,82
FabIndia Cotton Kurta,WH2-Hyderabad,Hyderabad,Apparel,865
Ariel Complete Detergent Powder 500g,WH2-Delhi,Delhi,Laundry,895
Himalaya Neem Face Wash 150ml,WH1-Pune,Pune,Bodycare,304
Sony Bravia 55" 4K TV,WH2-Bangalore,Bangalore,Electronics,336
IKEA RANARP Floor Lamp,WH1-Mumbai,Mumbai,Home Decor,140
Dove Cream Beauty Bathing Bar 100g,WH2-Bangalore,Bangalore,Bodycare,78
boAt Airdopes 141 Earbuds,WH2-Hyderabad,Hyderabad,Electronics,914
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Mumbai,Mumbai,Bodycare,980
Aashirvaad Whole Wheat Atta 5kg,WH2-Delhi,Delhi,Groceries,307
Nike Dri-FIT Legend Shirt,WH2-Delhi,Delhi,Apparel,31
Milton Thermosteel Flask 1L,WH1-Hyderabad,Hyderabad,Utensils,795
Nivea Men Deodorant 150ml,WH1-Pune,Pune,Bodycare,23
Ariel Complete Detergent Powder 500g,WH1-Mumbai,Mumbai,Laundry,581
boAt Airdopes 141 Earbuds,WH2-Chennai,Chennai,Electronics,534
Levi's 501 Original Fit Jeans,WH2-Pune,Pune,Apparel,589
Aashirvaad Whole Wheat Atta 5kg,WH1-Kolkata,Kolkata,Groceries,992
Rin Bar 250g,WH2-Ahmedabad,Ahmedabad,Laundry,424
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Pune,Pune,Utensils,519
Borosil Glass Mixing Bowl Set,WH2-Ahmedabad,Ahmedabad,Utensils,285
Chumbak Printed Cushion Cover 40x40cm,WH2-Mumbai,Mumbai,Home Decor,282
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Delhi,Delhi,Bodycare,850
Aashirvaad Whole Wheat Atta 5kg,WH2-Kolkata,Kolkata,Groceries,125
Rin Bar 250g,WH2-Hyderabad,Hyderabad,Laundry,981
Chumbak Printed Cushion Cover 40x40cm,WH1-Hyderabad,Hyderabad,Home Decor,260
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Pune,Pune,Utensils,736
Fortune Soya Oil 1L,WH2-Chennai,Chennai,Groceries,176
IKEA RANARP Floor Lamp,WH2-Bangalore,Bangalore,Home Decor,600
Samsung Galaxy S24 128GB,WH1-Chennai,Chennai,Electronics,683
Fortune Soya Oil 1L,WH2-Chennai,Chennai,Groceries,405
Sony Bravia 55" 4K TV,WH2-Bangalore,Bangalore,Electronics,200
Tata Salt 1kg,WH1-Bangalore,Bangalore,Groceries,499
Rin Bar 250g,WH1-Kolkata,Kolkata,Laundry,600
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Mumbai,Mumbai,Bodycare,371
FabIndia Cotton Kurta,WH2-Kolkata,Kolkata,Apparel,682
Nirma Washing Powder 1kg,WH2-Hyderabad,Hyderabad,Laundry,963
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Hyderabad,Hyderabad,Utensils,38
Milton Thermosteel Flask 1L,WH1-Pune,Pune,Utensils,43
D'Decor Blackout Curtains 7ft,WH1-Chennai,Chennai,Home Decor,360
India Gate Basmati Rice (2 Years Aged) 5kg,WH2-Pune,Pune,Groceries,110
Aashirvaad Whole Wheat Atta 5kg,WH1-Kolkata,Kolkata,Groceries,815
H&M Relaxed Fit Hoodie,WH1-Kolkata,Kolkata,Apparel,964
Urban Ladder Walnut Coffee Table,WH2-Bangalore,Bangalore,Home Decor,462
Amul Gold Milk 1L,WH2-Delhi,Delhi,Groceries,721
Urban Ladder Walnut Coffee Table,WH1-Kolkata,Kolkata,Home Decor,81
Samsung Galaxy S24 128GB,WH1-Chennai,Chennai,Electronics,343
D'Decor Blackout Curtains 7ft,WH1-Delhi,Delhi,Home Decor,568
Nivea Men Deodorant 150ml,WH1-Hyderabad,Hyderabad,Bodycare,673
Chumbak Printed Cushion Cover 40x40cm,WH2-Mumbai,Mumbai,Home Decor,35
Borosil Glass Mixing Bowl Set,WH1-Pune,Pune,Utensils,672
Chumbak Printed Cushion Cover 40x40cm,WH1-Chennai,Chennai,Home Decor,973
Prestige Deluxe Alpha Pressure Cooker 5L,WH1-Kolkata,Kolkata,Utensils,488
Apple MacBook Air M3 13",WH1-Hyderabad,Hyderabad,Electronics,812
Nivea Men Deodorant 150ml,WH2-Mumbai,Mumbai,Bodycare,906
Aashirvaad Whole Wheat Atta 5kg,WH1-Delhi,Delhi,Groceries,278
Himalaya Neem Face Wash 150ml,WH2-Kolkata,Kolkata,Bodycare,980
Banana Robusta 1kg,WH2-Ahmedabad,Ahmedabad,Groceries,638
FabIndia Cotton Kurta,WH1-Bangalore,Bangalore,Apparel,62
Milton Thermosteel Flask 1L,WH2-Delhi,Delhi,Utensils,869
Tata Salt 1kg,WH2-Kolkata,Kolkata,Groceries,770
Nike Dri-FIT Legend Shirt,WH1-Ahmedabad,Ahmedabad,Apparel,266
H&M Relaxed Fit Hoodie,WH1-Kolkata,Kolkata,Apparel,276
boAt Airdopes 141 Earbuds,WH1-Ahmedabad,Ahmedabad,Electronics,317
Levi's 501 Original Fit Jeans,WH1-Ahmedabad,Ahmedabad,Apparel,814
Apple MacBook Air M3 13",WH1-Mumbai,Mumbai,Electronics,519
IKEA RANARP Floor Lamp,WH2-Ahmedabad,Ahmedabad,Home Decor,299
Dove Cream Beauty Bathing Bar 100g,WH1-Chennai,Chennai,Bodycare,26
Ariel Complete Detergent Powder 500g,WH1-Ahmedabad,Ahmedabad,Laundry,484
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Ahmedabad,Ahmedabad,Bodycare,106
Sony Bravia 55" 4K TV,WH1-Hyderabad,Hyderabad,Electronics,398
Fortune Soya Oil 1L,WH1-Pune,Pune,Groceries,678
India Gate Basmati Rice (2 Years Aged) 5kg,WH2-Hyderabad,Hyderabad,Groceries,330
Nike Dri-FIT Legend Shirt,WH2-Ahmedabad,Ahmedabad,Apparel,520
Himalaya Neem Face Wash 150ml,WH1-Ahmedabad,Ahmedabad,Bodycare,409
IKEA RANARP Floor Lamp,WH1-Mumbai,Mumbai,Home Decor,74
Borosil Glass Mixing Bowl Set,WH1-Mumbai,Mumbai,Utensils,943
H&M Relaxed Fit Hoodie,WH2-Kolkata,Kolkata,Apparel,244
Rin Bar 250g,WH2-Ahmedabad,Ahmedabad,Laundry,795
Dove Cream Beauty Bathing Bar 100g,WH1-Kolkata,Kolkata,Bodycare,429
Rin Bar 250g,WH2-Mumbai,Mumbai,Laundry,892
Borosil Glass Mixing Bowl Set,WH1-Delhi,Delhi,Utensils,872
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Kolkata,Kolkata,Utensils,766
Banana Robusta 1kg,WH1-Chennai,Chennai,Groceries,516
H&M Relaxed Fit Hoodie,WH1-Hyderabad,Hyderabad,Apparel,669
Tata Salt 1kg,WH2-Ahmedabad,Ahmedabad,Groceries,386
H&M Relaxed Fit Hoodie,WH1-Kolkata,Kolkata,Apparel,555
Surf Excel Matic Liquid 1L,WH1-Delhi,Delhi,Laundry,758
